repo,pr_number,status,created_at,closed_at,merged_at,tempo_analise_horas,review_count,num_files,additions,deletions,descricao_chars,num_comments,num_participants
sindresorhus/awesome,1835,closed,2020-07-26T00:21:38Z,2020-09-30T00:33:29Z,,1584.2,1,1,1,0,208,3,3
sindresorhus/awesome,1829,merged,2020-07-20T14:37:27Z,2020-08-21T09:09:17Z,2020-08-21T09:09:16Z,762.53,3,1,1,0,334,16,2
sindresorhus/awesome,1827,merged,2020-07-20T10:15:53Z,2021-01-07T07:53:40Z,2021-01-07T07:53:40Z,4101.63,1,1,1,0,419,12,4
sindresorhus/awesome,1821,closed,2020-07-12T08:24:49Z,2020-09-30T00:30:29Z,,1912.09,1,1,1,0,7433,6,3
sindresorhus/awesome,1817,closed,2020-07-05T06:38:40Z,2021-01-10T10:33:12Z,,4539.91,5,1,1,0,7183,15,2
sindresorhus/awesome,1813,merged,2020-06-28T07:56:10Z,2020-09-02T11:29:26Z,2020-09-02T11:29:26Z,1587.55,2,1,1,0,9344,13,3
sindresorhus/awesome,1812,merged,2020-06-26T20:35:08Z,2020-12-19T17:35:22Z,2020-12-19T17:35:22Z,4221.0,3,1,1,0,7371,21,4
sindresorhus/awesome,1805,merged,2020-06-16T05:39:56Z,2020-06-27T10:59:13Z,2020-06-27T10:59:12Z,269.32,1,1,1,0,143,3,2
sindresorhus/awesome,1803,closed,2020-06-15T13:12:40Z,2020-10-29T23:53:14Z,,3274.68,2,1,1,1,6485,14,4
sindresorhus/awesome,1802,closed,2020-06-15T13:10:29Z,2020-10-29T23:51:31Z,,3274.68,6,1,1,0,6133,9,3
sindresorhus/awesome,1797,closed,2020-06-15T06:52:57Z,2020-09-30T13:58:02Z,,2575.08,1,1,1,0,7232,12,5
sindresorhus/awesome,1794,closed,2020-06-15T06:03:19Z,2021-07-28T10:48:03Z,,9796.75,1,1,15,0,104,16,10
sindresorhus/awesome,1784,closed,2020-05-30T03:42:44Z,2020-06-15T05:48:11Z,,386.09,1,1,1,0,7119,2,1
sindresorhus/awesome,1775,closed,2020-05-16T16:08:28Z,2020-06-15T05:48:10Z,,709.66,1,1,1,0,7083,11,3
sindresorhus/awesome,1769,closed,2020-05-12T04:46:15Z,2020-05-29T09:20:50Z,,412.58,1,1,1,0,7104,7,7
sindresorhus/awesome,1760,closed,2020-04-20T02:39:16Z,2020-06-15T05:48:09Z,,1347.15,1,1,1,0,644,7,3
sindresorhus/awesome,1747,merged,2020-03-28T03:15:57Z,2020-06-01T18:18:23Z,2020-06-01T18:18:23Z,1575.04,5,1,1,0,6893,22,4
sindresorhus/awesome,1727,merged,2020-03-08T03:04:58Z,2020-03-09T13:43:46Z,2020-03-09T13:43:45Z,34.65,2,1,1,0,1727,10,3
sindresorhus/awesome,1722,closed,2020-02-29T19:29:25Z,2020-06-15T05:48:05Z,,2554.31,1,1,1,0,7765,18,4
sindresorhus/awesome,1720,closed,2020-02-28T23:26:30Z,2020-06-15T05:48:05Z,,2574.36,2,1,1,0,7316,7,6
sindresorhus/awesome,1701,closed,2020-02-21T22:38:42Z,2020-05-30T17:33:46Z,,2370.92,1,1,1,0,7128,9,5
sindresorhus/awesome,1700,closed,2020-02-18T11:10:49Z,2020-06-15T05:48:04Z,,2826.62,3,1,1,0,7347,15,6
